iter	Passed	Remaining
0	1	116
1	2	116
2	3	108
3	4	99
4	5	95
5	6	94
6	7	93
7	7	91
8	8	89
9	9	88
10	10	87
11	12	91
12	13	90
13	14	88
14	15	87
15	16	87
16	18	90
17	19	88
18	20	87
19	21	87
20	22	86
21	24	86
22	25	85
23	26	83
24	27	82
25	28	81
26	29	79
27	30	78
28	31	77
29	32	76
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	41	70
37	42	68
38	43	67
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	58
45	49	57
46	50	56
47	50	55
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	58	44
57	59	43
58	60	42
59	61	40
60	62	39
61	63	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	70	28
71	71	27
72	72	26
73	73	25
74	74	24
75	75	23
76	76	22
77	77	21
78	78	20
79	79	19
80	80	18
81	81	17
82	81	16
83	82	15
84	83	14
85	84	13
86	85	12
87	86	11
88	87	10
89	88	9
90	88	8
91	89	7
92	90	6
93	91	5
94	92	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
